file_name,strategy,splits,backtracks,clauses,variables,givens,pos,neg,unit_rule,pure_rule,execution_time
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/463.txt,Grab First,1,1,12013,729,25,4917,29178,3,3,2.202399969100952
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/339.txt,Grab First,2,1,12012,729,24,4099,25499,4,4,2.0993752479553223
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/488.txt,Grab First,13,11,12013,729,25,22756,75389,25,25,2.4454541206359863
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/113.txt,Grab First,0,0,12011,729,23,2939,23328,1,1,2.4389970302581787
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/675.txt,Grab First,7,5,12013,729,25,16287,62462,13,13,2.3245928287506104
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/661.txt,Grab First,32,26,12013,729,25,60210,190663,59,59,3.161975145339966
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/107.txt,Grab First,106,105,12011,729,23,165250,458805,212,212,4.970919370651245
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/649.txt,Grab First,8,4,12013,729,25,7146,30629,13,13,2.4631381034851074
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/891.txt,Grab First,4,3,12014,729,26,8868,37784,8,8,2.2691099643707275
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/885.txt,Grab First,9,8,12014,729,26,17923,60157,18,18,2.3800528049468994
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/852.txt,Grab First,1,1,12014,729,26,3948,25098,3,3,2.1440162658691406
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/12.txt,Grab First,3,1,12010,729,22,5461,28979,5,5,2.157231092453003
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/846.txt,Grab First,3,2,12014,729,26,6186,31178,6,6,2.3624799251556396
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/701.txt,Grab First,5,2,12013,729,25,10630,45251,8,8,2.2357981204986572
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/715.txt,Grab First,5,3,12014,729,26,8516,36592,9,9,2.3734939098358154
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/729.txt,Grab First,2,2,12014,729,26,5488,28566,5,5,2.132236957550049
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/926.txt,Grab First,7,5,12015,729,27,10983,39722,13,13,2.2207748889923096
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/932.txt,Grab First,9,6,12015,729,27,12921,45846,16,16,2.3118598461151123
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/503.txt,Grab First,9,7,12013,729,25,17777,60064,17,17,2.3504068851470947
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/265.txt,Grab First,0,0,12012,729,24,2940,23328,1,1,2.2570061683654785
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/271.txt,Grab First,2,0,12012,729,24,4340,26200,3,3,2.131324052810669
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/517.txt,Grab First,2,1,12013,729,25,4786,27437,4,4,2.2613182067871094
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/259.txt,Grab First,18,12,12012,729,24,34803,118971,31,31,2.648602247238159
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/298.txt,Grab First,6,4,12012,729,24,12112,49066,11,11,2.3112878799438477
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/529.txt,Grab First,3,1,12013,729,25,5707,29140,5,5,2.319121837615967
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/267.txt,Grab First,13,12,12012,729,24,16457,49321,26,26,2.557251214981079
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/501.txt,Grab First,0,0,12013,729,25,2941,23328,1,1,2.1407220363616943
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/515.txt,Grab First,0,0,12013,729,25,2941,23328,1,1,2.097270965576172
